time,MoorFx,MoorFy,MoorFz,MoorMx,MoorMy,MoorMz
40.26000000000056,165600.90856215323,1.0477378964424133e-09,-1830876.8251250617,-2.0489096641540527e-08,14635410.809513815,7.683411240577698e-09
40.29000000000055,165600.90856215323,1.0477378964424133e-09,-1830876.8251250617,-2.0489096641540527e-08,14635410.809513815,7.683411240577698e-09
40.32000000000055,157063.63863019645,-3.4924596548080444e-10,-1835706.700208494,-2.0489096641540527e-08,14991539.138592802,3.4924596548080444e-09
40.35000000000054,157063.63863019645,-3.4924596548080444e-10,-1835706.700208494,-2.0489096641540527e-08,14991539.138592802,3.4924596548080444e-09
40.380000000000535,149896.02524960635,-3.4924596548080444e-10,-1839905.1357924938,-2.60770320892334e-08,15312154.88798475,3.026798367500305e-09
40.41000000000053,144137.35781548807,4.190951585769653e-09,-1843444.7014444645,-3.725290298461914e-08,15596408.663253248,1.3737007975578308e-08
40.44000000000052,144137.35781548807,4.190951585769653e-09,-1843444.7014444645,-3.725290298461914e-08,15596408.663253248,1.3737007975578308e-08
40.47000000000052,139826.44170670683,-3.4924596548080444e-09,-1846300.0024844264,-9.313225746154785e-09,15843471.752070982,-3.725290298461914e-09
40.50000000000051,139826.44170670683,-3.4924596548080444e-09,-1846300.0024844264,-9.313225746154785e-09,15843471.752070982,-3.725290298461914e-09
40.530000000000506,136997.80300752464,1.0477378964424133e-09,-1848447.7745350474,-2.0489096641540527e-08,16052592.315856393,8.847564458847046e-09
40.5600000000005,135666.32116163493,-3.026798367500305e-09,-1849867.2754868935,-1.1175870895385742e-08,16223315.056769969,9.313225746154785e-10
40.590000000000494,135666.32116163493,-3.026798367500305e-09,-1849867.2754868935,-1.1175870895385742e-08,16223315.056769969,9.313225746154785e-10
40.62000000000049,135677.19342447224,0.0,-1850544.506583529,-1.862645149230957e-08,16357596.284047917,3.725290298461914e-09
40.65000000000048,135677.19342447224,0.0,-1850544.506583529,-1.862645149230957e-08,16357596.284047917,3.725290298461914e-09
40.680000000000476,134463.22848139418,3.4924596548080444e-09,-1850838.5611605786,-3.166496753692627e-08,16492262.214224078,1.3504177331924438e-08
40.71000000000047,130500.69934230181,0.0,-1851929.5830734535,-1.4901161193847656e-08,16651964.630645914,4.6566128730773926e-09
40.740000000000464,130500.69934230181,0.0,-1851929.5830734535,-1.4901161193847656e-08,16651964.630645914,4.6566128730773926e-09
40.77000000000046,124736.69355349836,-5.820766091346741e-10,-1854032.5220067035,-1.6763806343078613e-08,16824030.93396049,7.450580596923828e-09
40.80000000000045,124736.69355349836,-5.820766091346741e-10,-1854032.5220067035,-1.6763806343078613e-08,16824030.93396049,7.450580596923828e-09
