dof_B1E1,dof_B1F1,dof_B1F2,dof_B2E1,dof_B2F1,dof_B2F2,dof_B3E1,dof_B3F1,dof_B3F2,dof_DrTr,dof_GenAz,dof_Heave,dof_NacYaw,dof_Pitch,dof_Roll,dof_Surge,dof_Sway,dof_TwrFA1,dof_TwrFA2,dof_TwrSS1,dof_TwrSS2,dof_Yaw,env_AeroThrust,env_GenPower,env_GenTorque,env_PitchCmd,env_Time,env_WaveElev,env_WindSpeed,moor_Fx,moor_Fy,moor_Fz,moor_Mx,moor_My,moor_Mz,moor_Time,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006283185307179587,-0.0018631162320600367,0.0,-0.000639397170092121,-1.418336572706623e-20,0.0052920021025274966,-6.169319342084162e-19,0.12750801062069964,0.0,-0.07960163705036187,0.0,-1.9370901837434508e-22,-4065.6260063319733,2479338.7561463322,43093.55,0.0,0.0,1.83,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012566370614359173,5.191891541446366,0.0,-230.44846978843444,3.509322729932665e-16,2169.4618035572057,1.5528994692597152e-14,44311.10688570883,0.0,-27236.56142740953,0.0,1.5766280862771673e-18,-22854.632379140476,2479338.7561463322,43093.55,0.0,0.01,1.8299616084404755,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01884955592153876,4.173501142172322e+90,0.0,-2.5452407728720998e+91,3.2853314602720863e+72,2.3287845785710187e+92,1.83653855490549e+74,4.944375037529055e+93,0.0,-3.0551308518779973e+93,0.0,3.280399826786876e+70,-1.9035141135720294e+27,2479338.7561463322,43093.55,0.0,0.02,1.8298464353727346,11.4,-83382132902.376,-1.430511474609375e-06,-1740891112.966489,6.008148193359375e-05,-670152943666.2866,-0.0003662109375,0.02,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025132741228718346,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,0.03,1.8296544856292076,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031415926535897934,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,0.04,1.8293857672637197,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769911184307752,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,0.05,1.8290402915511532,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.060000000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439822971502571,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,0.060000000000000005,1.8286180729869734,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000005,0.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050265482457436686,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,0.07,1.8281191292866226,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05654866776461627,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,0.08,1.8275434813847746,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06283185307179585,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,0.09,1.8268911534344576,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09999999999999999
