time,dof_Surge,dof_Sway,dof_Heave,dof_Roll,dof_Pitch,dof_Yaw,dof_TwrFA1,dof_TwrSS1,dof_TwrFA2,dof_TwrSS2,dof_NacYaw,dof_GenAz,dof_DrTr,dof_B1F1,dof_B1E1,dof_B1F2,dof_B2F1,dof_B2E1,dof_B2F2,dof_B3F1,dof_B3E1,dof_B3F2
0.01,-6.1029989234354e-06,3.706510621439344e-21,-3.977150620950281e-05,-3.165072677168006e-22,-3.0911364003189504e-07,-1.4970537444613954e-23,0.00012470993304567854,-9.684879855512971e-05,0.0,0.0,0.0,0.006283185307179587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060000000000000005,-0.00022414719730694927,1.4391242912634003e-19,-0.0014299134941693397,-1.228923361596188e-20,-1.0744285968676012e-05,-4.1099220085535633e-22,0.0038471031970786114,-0.002759956194859316,0.0,0.0,0.0,0.03769911184307752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10999999999999999,-0.0007676875614551235,4.923632622720919e-19,-0.004798454680517757,-4.204574378412683e-20,-3.479908270992607e-05,-1.3692997433929549e-21,0.010455135145815097,-0.006456666823979462,0.0,0.0,0.0,0.06911503837897544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,-0.0016549902936039479,1.0299178088045191e-18,-0.010133002828508523,-8.795295728862058e-20,-7.085926903729e-05,-2.9342669093205093e-21,0.017869225420621287,-0.008895943310903905,0.0,0.0,0.0,0.10053096491487336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21000000000000005,-0.0029060504762374205,1.758346973863654e-18,-0.0174177567196931,-1.5016376567102366e-19,-0.00011736483059132315,-5.0756131161010145e-21,0.02633646360764172,-0.010622456486597976,0.0,0.0,0.0,0.1319468914507713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26000000000000006,-0.004541053008884696,2.676063368078355e-18,-0.026633537147143387,-2.2854455771187863e-19,-0.00017275769150566897,-7.812926870680816e-21,0.03726056604142105,-0.013617827299090283,0.0,0.0,0.0,0.1633628179866692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3100000000000001,-0.00657810927779291,3.794390221603016e-18,-0.037757823205817574,-3.240644687478683e-19,-0.00023540900717475556,-1.1072699526115524e-20,0.05117018670485184,-0.018843556206666418,0.0,0.0,0.0,0.19477874452256713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36000000000000015,-0.0090327406016368,5.097268314060591e-18,-0.05076479387300723,-4.353546682812439e-19,-0.00030360945764491376,-1.475519708763633e-20,0.06705985525898267,-0.02542755370823852,0.0,0.0,0.0,0.22619467105846505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4100000000000002,-0.011919210766291821,6.601043496589015e-18,-0.06562537527673322,-5.638137097499723e-19,-0.0003756220531940997,-1.8856418082318567e-20,0.08339577677984845,-0.03186350429433458,0.0,0.0,0.0,0.257610597594363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46000000000000024,-0.01525196518073289,8.308332740653748e-18,-0.08230729389765526,-7.096681027833046e-19,-0.0004497356385228724,-2.343918875803716e-20,0.0993617408593229,-0.03751205834089466,0.0,0.0,0.0,0.2890265241302609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5100000000000002,-0.019045792290215743,1.0214099396980124e-17,-0.10077513550798355,-8.724910037446685e-19,-0.0005242729891690189,-2.8434924679822465e-20,0.11506036357485189,-0.04284755751478061,0.0,0.0,0.0,0.32044245066615884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5600000000000003,-0.02331494918873352,1.2330692040381466e-17,-0.12099040944119947,-1.053340435885028e-18,-0.0005975643118099201,-3.3875359112130344e-20,0.1307534092347735,-0.04854088211865353,0.0,0.0,0.0,0.35185837720205676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6100000000000003,-0.028072450753366764,1.4637740816391297e-17,-0.14291161797344287,-1.2504807012859761e-18,-0.0006679281342565371,-3.970512022629296e-20,0.14614938048378373,-0.054591590973389094,0.0,0.0,0.0,0.3832743037379547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6600000000000004,-0.033330243632219037,1.7149074153741017e-17,-0.1664943308874824,-1.4650965781594864e-18,-0.0007336830933360627,-4.577833277400139e-20,0.16043358667845567,-0.060353473422176576,0.0,0.0,0.0,0.4146902302738526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7100000000000004,-0.039099923109250596,1.9859209729050984e-17,-0.1916912653412217,-1.6967241674877808e-18,-0.0007931773190028359,-5.2115564151310204e-20,0.17282068358419994,-0.06519451705943412,0.0,0.0,0.0,0.4461061568097505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7600000000000005,-0.045393204383505414,2.276700657538427e-17,-0.21845237095540124,-1.945270430316872e-18,-0.0008448080767543183,-5.86618899611435e-20,0.1829528692903428,-0.06897567653152653,0.0,0.0,0.0,0.47752208334564844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
