time,dof_B1E1,dof_B1F1,dof_B1F2,dof_B2E1,dof_B2F1,dof_B2F2,dof_B3E1,dof_B3F1,dof_B3F2,dof_DrTr,dof_GenAz,dof_Heave,dof_NacYaw,dof_Pitch,dof_Roll,dof_Surge,dof_Sway,dof_TwrFA1,dof_TwrFA2,dof_TwrSS1,dof_TwrSS2,dof_Yaw
0.01,6.74812528743502e-05,0.00018654828163962487,-9.619711043260656e-07,6.74812528743502e-05,0.0001865482816396249,-9.619711043260662e-07,6.74812528743502e-05,0.00018654828163962487,-9.619711043260658e-07,-0.0002326769769381687,0.0063081836708418345,-5.333604337646366e-05,0.0,-2.245450565918749e-07,-2.3477730615588586e-21,5.525577020481132e-07,-6.212020092971876e-20,3.2293915539220827e-06,-1.8021599680788087e-19,1.9799611480336812e-05,-1.7944985296901603e-19,-2.0067270212759905e-22
0.02,0.00027093694264548657,0.0007515140584686996,-2.5279885582789622e-06,0.00027093694264548657,0.0007515140584686997,-2.527988558278964e-06,0.00027093694264548657,0.0007515140584686995,-2.5279885582789622e-06,-0.0008507094110453602,0.012667018328649256,-0.00021330418137855154,0.0,-8.532098517519507e-07,-7.941556239754638e-21,1.5622799823865963e-06,-1.9851814124066932e-19,8.594433016076862e-06,-6.15239238322336e-19,7.478290143812476e-05,-6.073933762080427e-19,-7.767398961953241e-22
0.03,0.0006112664705838169,0.0017021491629601723,-2.7475457463386883e-06,0.0006112664705838169,0.0017021491629601725,-2.7475457463386917e-06,0.0006112664705838169,0.001702149162960172,-2.747545746338689e-06,-0.0017049612929382124,0.01907743111505376,-0.00047984030228905277,0.0,-1.8181283021208673e-06,-1.5962722194261948e-20,2.0545292577644406e-06,-3.838958402261857e-19,9.644777751035366e-06,-1.2437994390530388e-18,0.00015796919183214622,-1.2148435470534724e-18,-1.6497127743991154e-21
0.04,0.001088619218997384,0.003044850934201425,2.651206384719277e-07,0.001088619218997384,0.0030448509342014245,2.6512063847192474e-07,0.001088619218997384,0.0030448509342014245,2.651206384719277e-07,-0.0026339129769916976,0.025540304987821595,-0.0008528747872120026,0.0,-3.050997394763977e-06,-2.5759030816258323e-20,1.0521258356363209e-06,-5.786392334613519e-19,-2.0815972441002407e-08,-2.0266773366847017e-18,0.0002620118121959183,-1.952480108767593e-18,-2.9321316587946647e-21
0.05,0.0017026271168382656,0.004785703962907452,8.327440361031895e-06,0.0017026271168382656,0.004785703962907452,8.327440361031892e-06,0.0017026271168382656,0.004785703962907452,8.327440361031894e-06,-0.003488704065480028,0.03205656502384945,-0.0013323325000812061,0.0,-4.482826309690478e-06,-3.862945498543015e-20,-2.4258281363299203e-06,-8.705966645633282e-19,-2.682259650508598e-05,-3.036499299023799e-18,0.00037928674047573477,-2.8822228000346015e-18,-4.326227430806156e-21
0.060000000000000005,0.0024516342063600717,0.0069288358995449485,2.3060699441887878e-05,0.0024516342063600717,0.0069288358995449485,2.3060699441887874e-05,0.0024516342063600717,0.0069288358995449485,2.3060699441887878e-05,-0.00415309497673202,0.038626887457701806,-0.0019181327762171274,0.0,-6.045862625744876e-06,-5.251405192034578e-20,-9.351344135385279e-06,-1.1581261325168606e-18,-7.687043066642234e-05,-4.138254939931069e-18,0.0005021920327356802,-3.856340336901547e-18,-6.249520995789571e-21
0.07,0.003334034543516109,0.009478962264587398,4.6004347596215986e-05,0.003334034543516109,0.009478962264587398,4.6004347596215986e-05,0.003334034543516109,0.009478962264587398,4.6004347596215986e-05,-0.004561721515320563,0.04525219694907103,-0.0026101894137288226,0.0,-7.671192130606912e-06,-7.10646043551392e-20,-2.0702178797786722e-05,-1.5829898491359057e-18,-0.00015640963439127114,-5.589256582394463e-18,0.0006230538411820325,-5.119198187957063e-18,-8.285327842108804e-21
0.08,0.004347153249047916,0.012439231172039395,7.846514958109918e-05,0.004347153249047916,0.012439231172039395,7.846514958109916e-05,0.004347153249047916,0.012439231172039395,7.846514958109916e-05,-0.00469736773077069,0.05193324493954482,-0.0034084106620421305,0.0,-9.291210816761827e-06,-8.886851364409971e-20,-3.744582886466502e-05,-1.937420187053657e-18,-0.0002713962130458693,-7.00551508041173e-18,0.0007344648901523695,-6.265950960448494e-18,-1.0800834517594187e-20
0.09,0.0054876642128443955,0.01581207536755769,0.00012153806868318341,0.0054876642128443955,0.015812075367557694,0.0001215380686831834,0.0054876642128443955,0.01581207536755769,0.00012153806868318338,-0.004588544944637349,0.05867075817543442,-0.00431269921525627,0.0,-1.0839171295316489e-05,-1.1027248195881364e-19,-6.05420658168e-05,-2.4123390417683904e-18,-0.00042761286945124013,-8.682385679979996e-18,0.0008293530117663487,-7.583907298759668e-18,-1.3461467054403353e-20
0.09999999999999999,0.006751654285000475,0.019599162444108243,0.00017608628592104598,0.006751654285000475,0.019599162444108247,0.00017608628592104595,0.006751654285000475,0.019599162444108243,0.00017608628592104592,-0.004297359118886275,0.06546545695660626,-0.005322952203901216,0.0,-1.2249314886183752e-05,-1.3359147834757895e-19,-9.094164681149902e-05,-2.9137747940116984e-18,-0.0006306491392130222,-1.0514348480387818e-17,0.0009010991484669621,-8.945429171368656e-18,-1.647256344706961e-20
0.10999999999999999,0.008134565999247128,0.023801374846290038,0.0002427213691721027,0.008134565999247128,0.02380137484629004,0.00024272136917210266,0.008134565999247128,0.023801374846290035,0.0002427213691721026,-0.0039044070714531077,0.07231802579396239,-0.00643906118755105,0.0,-1.3457213524887948e-05,-1.5645349101900413e-19,-0.00012958384494298576,-3.383905437949996e-18,-0.0008858660987897677,-1.231612100970407e-17,0.0009436631605002843,-1.0149589429102994e-17,-1.9762005636492716e-20
0.11999999999999998,0.009631254606790554,0.028418786003858814,0.0003217919679333189,0.009631254606790554,0.028418786003858817,0.0003217919679333188,0.009631254606790554,0.02841878600385881,0.0003217919679333187,-0.0034932581869736154,0.07922912592938942,-0.007660912149142258,0.0,-1.4399937936394222e-05,-1.8496168215960354e-19,-0.00017739505985903017,-4.031184608739937e-18,-0.0011983766805654993,-1.4532125544646266e-17,0.0009516836504185186,-1.1629347078044575e-17,-2.3428667218527987e-20
0.12999999999999998,0.011235593351179095,0.0334500535251745,0.0004133369877000828,0.011235593351179095,0.0334500535251745,0.00041333698770008273,0.011235593351179095,0.033450053525174495,0.00041333698770008257,-0.0031354509248091495,0.0861992366636249,-0.008988385490624317,0.0,-1.5017121477001567e-05,-2.1311215490395274e-19,-0.00023528196926083487,-4.631596025960455e-18,-0.0015728925911718816,-1.6732875212717692e-17,0.0009206428351203182,-1.2929091793249971e-17,-2.7512667993393015e-20
0.13999999999999999,0.012941349379857298,0.03889366995903114,0.0005171671985783953,0.012941349379857298,0.03889366995903114,0.0005171671985783953,0.012941349379857298,0.03889366995903113,0.0005171671985783951,-0.0028844326706471608,0.09322897221915943,-0.010421356030341318,0.0,-1.5249356049040075e-05,-2.446214364523229e-19,-0.00030414122150468814,-5.338851904936358e-18,-0.002013982027083264,-1.917537739765929e-17,0.0008467839214616773,-1.4299258403155847e-17,-3.186550115296413e-20
0.15,0.014741455225460833,0.044746802240298506,0.0006327941674328235,0.014741455225460833,0.044746802240298506,0.0006327941674328235,0.014741455225460833,0.0447468022402985,0.0006327941674328231,-0.0027667157078541276,0.10031879805260394,-0.011959692997784169,0.0,-1.5039820978871272e-05,-2.765246709632219e-19,-0.0003848491169746495,-6.015705892497329e-18,-0.0025258155080175775,-2.1660272338796583e-17,0.0007273014062931515,-1.5518891206277517e-17,-3.6597182126227754e-20
0.16,0.016628791265046627,0.05100635237979549,0.0007595108454212479,0.016628791265046627,0.05100635237979549,0.0007595108454212479,0.016628791265046627,0.051006352379795485,0.0007595108454212475,-0.002785304023505802,0.10746931033471192,-0.013603260034561415,0.0,-1.4332846609257377e-05,-3.1110469118218503e-19,-0.00047827037450806013,-6.760984810098497e-18,-0.0031123920487640035,-2.4342681127861892e-17,0.0005602432211898389,-1.6731867074452817e-17,-4.18611849291501e-20
0.17,0.018595158772928624,0.05766761162463752,0.0008963063812383323,0.018595158772928624,0.05766761162463752,0.0008963063812383323,0.018595158772928624,0.057667611624637516,0.0008963063812383318,-0.0029185258685399413,0.11468083804304027,-0.015351915192129756,0.0,-1.3076186788587418e-05,-3.4884477020093386e-19,-0.0005852440685269313,-7.579950478839788e-18,-0.003777211275675131,-2.7262352788392432e-17,0.0003447265103356907,-1.7962920797471616e-17,-4.708063804197195e-20
0.18000000000000002,0.020632611898049574,0.064725877081009,0.0010420045603367009,0.020632611898049574,0.06472587708100899,0.0010420045603367009,0.020632611898049574,0.06472587708100899,0.0010420045603367002,-0.0031327683736641003,0.12195392663715932,-0.01720551093568299,0.0,-1.1218304056793008e-05,-3.878724738975623e-19,-0.0007066002999950936,-8.418053893010704e-18,-0.004523666256600888,-3.0276846212394597e-17,8.069658536477315e-05,-1.905499534167083e-17,-5.290371925792774e-20
0.19000000000000003,0.022732332281135942,0.07217504604643832,0.0011951791555696685,0.022732332281135942,0.0721750460464383,0.0011951791555696685,0.022732332281135942,0.0721750460464383,0.0011951791555696676,-0.003384345285824616,0.12928890357056216,-0.01916389414087429,0.0,-8.710757011072584e-06,-4.298056037858078e-19,-0.0008431455254100885,-9.330750418878352e-18,-0.005354700368280102,-3.3502862420032866e-17,-0.0002308741534283596,-2.0114080391238013e-17,-5.881282498264938e-20
0.20000000000000004,0.024885503677290675,0.08000866576747086,0.0013542572477074108,0.024885503677290675,0.08000866576747084,0.0013542572477074108,0.024885503677290675,0.08000866576747084,0.00135425724770741,-0.0036319873064477167,0.1366861885734923,-0.02122690610141777,0.0,-5.506436905409686e-06,-4.74511751108413e-19,-0.0009956735188938193,-1.0323677465605052e-17,-0.006273063424314071,-3.692438013953849e-17,-0.0005881739777856827,-2.1113002449475442e-17,-6.516144520430881e-20
0.21000000000000005,0.027082557226751288,0.08821898083995991,0.0015174741019793004,0.027082557226751288,0.0882189808399599,0.0015174741019793004,0.027082557226751288,0.0882189808399599,0.0015174741019792996,-0.0038392442690772044,0.14414599573821485,-0.023394382530091358,0.0,-1.5611959808049225e-06,-5.184758196576331e-19,-0.0011649554996856185,-1.1268708980244735e-17,-0.007281079150944767,-4.028772060040822e-17,-0.000988449700699658,-2.178717056126061e-17,-7.201401366914259e-20
0.22000000000000006,0.029314149093874645,0.09679802534299449,0.0016829919721953678,0.029314149093874645,0.09679802534299448,0.0016829919721953678,0.029314149093874645,0.09679802534299448,0.001682991972195367,-0.003983538963035648,0.15166868232457578,-0.02566615356612023,0.0,3.1683152277577973e-06,-5.652747467068286e-19,-0.0013517535601495277,-1.2286962055607336e-17,-0.00838094140337396,-4.385303821033272e-17,-0.001428254151497727,-2.239497081792269e-17,-7.910250156369964e-20
0.23000000000000007,0.03157039978810171,0.10573671537123445,0.0018488589481172974,0.03157039978810171,0.10573671537123444,0.0018488589481172974,0.03157039978810171,0.10573671537123444,0.0018488589481172968,-0.004053756261895502,0.15925444846960152,-0.028042043776189032,0.0,8.723023299544498e-06,-6.144887242838072e-19,-0.0015568109161767287,-1.3401739065752802e-17,-0.009574486503456499,-4.75693721318426e-17,-0.001903366813452307,-2.287674083090819e-17,-8.666257795989572e-20
0.24000000000000007,0.033841634827139366,0.11502567785641925,0.002013110155736717,0.033841634827139366,0.11502567785641923,0.002013110155736717,0.033841634827139366,0.11502567785641923,0.0020131101557367163,-0.004053483788854467,0.16690359636503943,-0.030521872164715143,0.0,1.5143136437794775e-05,-6.6633241775887865e-19,-0.001780862616507508,-1.4560058363102274e-17,-0.010863424489089451,-5.148114935296385e-17,-0.0024090223759269383,-2.327664463226294e-17,-9.457043038033139e-20
0.25000000000000006,0.03611814299488902,0.12465493859987598,0.0021737764308599043,0.03611814299488902,0.12465493859987596,0.0021737764308599043,0.03611814299488902,0.12465493859987596,0.0021737764308599034,-0.0039964706372822185,0.17461642403714892,-0.03310545217660474,0.0,2.2467707760512656e-05,-7.18274105166241e-19,-0.002024633120093724,-1.572463245625345e-17,-0.012249273004527925,-5.537754900726335e-17,-0.0029399536665097974,-2.3379633514259878e-17,-1.0265332269191405e-19
0.26000000000000006,0.038390028443876935,0.13461339353781482,0.0023288911983231843,0.038390028443876935,0.13461339353781482,0.0023288911983231843,0.038390028443876935,0.13461339353781482,0.0023288911983231834,-0.0039026025671941556,0.18239315212621787,-0.03579259170492248,0.0,3.073429625355525e-05,-7.738137017032421e-19,-0.0022888344364078517,-1.697277520402367e-17,-0.013733280266699007,-5.953350766559773e-17,-0.0034904536181536295,-2.346702849458738e-17,-1.1116786176903507e-19
0.2700000000000001,0.040647321581645836,0.14488941037174108,0.0024765485595894783,0.040647321581645836,0.14488941037174108,0.0024765485595894783,0.040647321581645836,0.14488941037174108,0.0024765485595894775,-0.00379393435974989,0.19023394819746706,-0.03858309309943855,0.0,3.997939789224712e-05,-8.299170067704553e-19,-0.0025741692560153394,-1.823390793079624e-17,-0.015316521280636345,-6.370948405809231e-17,-0.004054508570779306,-2.3297443190367087e-17,-1.1982190437904327e-19
0.2800000000000001,0.04288026139053434,0.15547071400727522,0.0026149470424480883,0.04288026139053434,0.15547071400727522,0.0026149470424480883,0.04288026139053434,0.15547071400727522,0.0026149470424480874,-0.0036917268436257866,0.1981390158434608,-0.04147675317331642,0.0,5.023916851104175e-05,-8.860768557182043e-19,-0.0028813355416314377,-1.9471883644170638e-17,-0.01699995381937746,-6.787637741111208e-17,-0.004625959124993682,-2.2850892000565348e-17,-1.2888211730082347e-19
0.2900000000000001,0.04507907792117049,0.16634445950829346,0.0027424081302180906,0.04507907792117049,0.16634445950829346,0.0027424081302180906,0.04507907792117049,0.16634445950829346,0.0027424081302180898,-0.0036121742803863948,0.20610849660662658,-0.044473363209571085,0.0,6.154908029985231e-05,-9.443649568107578e-19,-0.003211024873520813,-2.07744930759026e-17,-0.0187843962231696,-7.217516763009194e-17,-0.005198568186412287,-2.2279024205708177e-17,-1.3808206622415827e-19
0.3000000000000001,0.04723422565059386,0.1774969550921574,0.002857405772550824,0.04723422565059386,0.1774969550921574,0.002857405772550824,0.04723422565059386,0.1774969550921574,0.0028574057725508236,-0.0035655672950762685,0.2141425403693598,-0.04757270897087832,0.0,7.394441596502766e-05,-1.0031531561110474e-18,-0.0035639256409392725,-2.208112890542675e-17,-0.020670547752586366,-7.648790242601857e-17,-0.0057661633951202,-2.147306486073946e-17,-1.4755106534197837e-19
0.3100000000000001,0.049336468114892194,0.1889143429777251,0.0029586201977448317,0.049336468114892194,0.1889143429777251,0.0029586201977448317,0.049336468114892194,0.1889143429777251,0.0029586201977448313,-0.003555602925848832,0.2222413214031281,-0.05077457070602578,0.0,8.74607992255601e-05,-1.0624165343428677e-18,-0.003940726764224492,-2.3392532718537905e-17,-0.02265910034368574,-8.081037335231962e-17,-0.006322777906221234,-2.0445200572399063e-17,-1.571253527004142e-19
0.3200000000000001,0.05137678202489164,0.20058203190554252,0.0030449312930370133,0.05137678202489164,0.20058203190554252,0.0030449312930370133,0.05137678202489164,0.20058203190554252,0.003044931293037013,-0.0035793816799730227,0.230404986881488,-0.0540787231558776,0.0,0.00010213391908018517,-1.1241981588595476e-18,-0.004342116162512889,-2.477089870246053e-17,-0.024750662578170053,-8.529368746174694e-17,-0.006862716067614282,-1.936307578962817e-17,-1.6696031107798854e-19
0.3300000000000001,0.05334631544439949,0.21248455852084483,0.003115426847654749,0.05334631544439949,0.21248455852084483,0.003115426847654749,0.05334631544439949,0.21248455852084483,0.0031154268476547486,-0.0036286485614604627,0.23863362572703758,-0.05748493556264388,0.0,0.00011799944255152229,-1.1872179766591832e-18,-0.004768780487876312,-2.6169883585597786e-17,-0.026945740055870245,-8.98440346256627e-17,-0.007380631093880201,-1.8148581747836835e-17,-1.7711089761317282e-19
0.34000000000000014,0.05523631078219809,0.2246062257297839,0.003169433164419697,0.05523631078219809,0.2246062257297839,0.003169433164419697,0.05523631078219809,0.2246062257297839,0.0031694331644196968,-0.0036915403388116433,0.24692722448966695,-0.060992971678666845,0.0,0.00013509309895461935,-1.2511739985818514e-18,-0.005221406126029793,-2.7588715778652693e-17,-0.0292448025233598,-9.443288773462826e-17,-0.00787161049295013,-1.6792626248847486e-17,-1.8755423831639372e-19
0.35000000000000014,0.05703846101987267,0.23693030001885101,0.00320651450665292,0.05703846101987267,0.23693030001885101,0.00320651450665292,0.05703846101987267,0.23693030001885101,0.00320651450665292,-0.003756173295415183,0.25528578643063754,-0.06460258977396954,0.0,0.0001534512543690624,-1.3195112808446726e-18,-0.005700682528237739,-2.911669659019779e-17,-0.03164826141786957,-9.932390742957218e-17,-0.008331295749194886,-1.5580001249008333e-17,-1.9811848013927426e-19
0.36000000000000015,0.058744667910556325,0.24943984483892034,0.003226493051600086,0.058744667910556325,0.24943984483892034,0.003226493051600086,0.058744667910556325,0.24943984483892034,0.003226493051600086,-0.0038112941450690187,0.26370922748200126,-0.06831354264286896,0.0,0.00017311068505769091,-1.3872250511692817e-18,-0.0062073013535384,-3.0612284114251113e-17,-0.03415652656143177,-1.0413537892519215e-16,-0.008755921176502127,-1.4141691882846985e-17,-2.0904609091563412e-19
0.37000000000000016,0.06034748282745229,0.26211763206016814,0.003229470670329429,0.06034748282745229,0.26211763206016814,0.003229470670329429,0.06034748282745229,0.26211763206016814,0.003229470670329429,-0.0038496606998465097,0.27219752796874747,-0.07212557761344213,0.0,0.00019410953703637312,-1.459968105424125e-18,-0.006741962265236004,-3.224372387428161e-17,-0.03677008343195609,-1.0929025430407779e-16,-0.009142447389981684,-1.2927503009160877e-17,-2.201354711382405e-19
0.38000000000000017,0.0618398296327321,0.2749458570316858,0.003215795968619207,0.0618398296327321,0.2749458570316858,0.003215795968619207,0.0618398296327321,0.2749458570316858,0.0032157959686192074,-0.003867169298573089,0.280750617062391,-0.07603843655204548,0.0,0.00021648661241705714,-1.5338378686360242e-18,-0.007305368675081383,-3.388183295596234e-17,-0.039489402224468076,-1.1449968444708603e-16,-0.009488534758086642,-1.165910174564645e-17,-2.3131372831811787e-19
0.3900000000000002,0.06321518882290336,0.28790650942884255,0.0031860790259053925,0.06321518882290336,0.2879065094288425,0.0031860790259053925,0.06321518882290336,0.28790650942884255,0.0031860790259053934,-0.0038638399809099912,0.2893684299303667,-0.08005185587279195,0.0,0.00024028186481876154,-1.6108634447759931e-18,-0.007898230863644842,-3.56114439244484e-17,-0.04231501542619238,-1.1990200532971168e-16,-0.009792613047972373,-1.049795682789883e-17,-2.42879230129861e-19
0.4000000000000002,0.06446772531399396,0.30098148708525824,0.003141189634927041,0.06446772531399396,0.3009814870852582,0.003141189634927041,0.06446772531399396,0.30098148708525824,0.003141189634927042,-0.0038432972990842707,0.2980509459755802,-0.08416556654238912,0.0,0.0002655367350363742,-1.6889464336213713e-18,-0.008521267981714702,-3.734191893605881e-17,-0.04524755682871865,-1.2535145554188785e-16,-0.010053922061167737,-9.310380391233019e-18,-2.546311650641842e-19
0.4100000000000002,0.06559210222732063,0.3141523163717797,0.003082215269925584,0.06559210222732063,0.31415231637177965,0.003082215269925584,0.06559210222732063,0.3141523163717797,0.003082215269925585,-0.003810916215364812,0.30679810987276995,-0.08837929408609077,0.0,0.00029229351912897397,-1.769594836679634e-18,-0.009175204134474521,-3.912828783556145e-17,-0.04828767736967203,-1.3095421347553396e-16,-0.010272455963985409,-8.222022392800483e-18,-2.666655477035925e-19
0.4200000000000002,0.06658355310153152,0.32740017692547835,0.003010443613465687,0.06658355310153152,0.3274001769254783,0.003010443613465687,0.06658355310153152,0.32740017692547835,0.0030104436134656878,-0.003773001683656246,0.3156098499954809,-0.09269275859789593,0.0,0.0003205954218939073,-1.852450805643874e-18,-0.009860768605943425,-4.0965918481820435e-17,-0.051436050253733774,-1.3667817628486602e-16,-0.010448957197166014,-7.214505934117284e-18,-2.788632684697841e-19
0.4300000000000002,0.06743805697699921,0.3407064999134016,0.0029273712313606145,0.06743805697699921,0.3407064999134015,0.0029273712313606145,0.06743805697699921,0.3407064999134016,0.0029273712313606154,-0.003736144647720495,0.3244861372262498,-0.0971056747470202,0.0,0.00035048712147051883,-1.935652806552132e-18,-0.010578699252470097,-4.2787538554904e-17,-0.054693474395142126,-1.4238725923039387e-16,-0.010584941796984795,-6.166880368111479e-18,-2.9115077092781446e-19
0.4400000000000002,0.06815173937309855,0.3540520270672785,0.0028345981842818565,0.06815173937309855,0.35405202706727845,0.0028345981842818565,0.06815173937309855,0.3540520270672785,0.0028345981842818574,-0.0037038528554240494,0.3334267540364239,-0.10161775178380524,0.0,0.0003820127954624961,-2.0224006953377623e-18,-0.011329730255617355,-4.468947023047364e-17,-0.058060608330125364,-1.4831913482375168e-16,-0.01068249186871765,-5.332984298557513e-18,-3.0377480971100504e-19
0.45000000000000023,0.06872166861079819,0.3674176813351263,0.0027338826973604593,0.06872166861079819,0.36741768133512626,0.0027338826973604593,0.06872166861079819,0.3674176813351263,0.00273388269736046,-0.0036796233784466732,0.34243158697100273,-0.10622869355680621,0.0,0.00041521820163240383,-2.108241136853275e-18,-0.01211460455590971,-4.653450833514778e-17,-0.06153823440036169,-1.5413919779280096e-16,-0.010744396775016162,-4.386012043511911e-18,-3.1639590133241727e-19
0.46000000000000024,0.06914529223493873,0.38078417830211286,0.0026270558222311114,0.06914529223493873,0.3807841783021128,0.0026270558222311114,0.06914529223493873,0.38078417830211286,0.0026270558222311123,-0.003663786155515927,0.35150041233921886,-0.11093819851391712,0.0,0.0004501490341426008,-2.1979528893597247e-18,-0.012934063659242882,-4.847025090646155e-17,-0.06512707280195618,-1.6020167710591064e-16,-0.010773953142484525,-3.699298664520606e-18,-3.29406575512136e-19
0.47000000000000025,0.06942092344800234,0.39413235250351075,0.002516032395548569,0.06942092344800234,0.3941323525035107,0.002516032395548569,0.06942092344800234,0.39413235250351075,0.0025160323955485697,-0.003656206620024592,0.3606330744575178,-0.11574595971924814,0.0,0.0004868520490137607,-2.2873857203219768e-18,-0.013788854143643175,-5.0368423654848115e-17,-0.06882790978410021,-1.6619469742209282e-16,-0.010775005548572636,-2.9654149411309052e-18,-3.4262227690773105e-19
0.48000000000000026,0.06954747285416865,0.4074429451501399,0.002402748986756976,0.06954747285416865,0.40744294515013985,0.002402748986756976,0.06954747285416865,0.4074429451501399,0.002402748986756977,-0.003654951624062659,0.36982938408625254,-0.12065166485953749,0.0,0.0005253741346843146,-2.3793384914843954e-18,-0.01467972172025436,-5.231148243296723e-17,-0.07264149188515172,-1.7232678198416572e-16,-0.010751795590125904,-2.4084216958857994e-18,-3.5623944120829774e-19
0.49000000000000027,0.06952452972332404,0.4206967613955103,0.002289141373909648,0.06952452972332404,0.42069676139551027,0.002289141373909648,0.06952452972332404,0.4206967613955103,0.002289141373909649,-0.0036575120163076726,0.3790891475325302,-0.12565499625920457,0.0,0.0005657624048186647,-2.473309607807475e-18,-0.015607411503098837,-5.428795457411252e-17,-0.07656854604278406,-1.7855602976486611e-16,-0.010708899045109604,-1.9897763543984246e-18,-3.6995050255295284e-19
0.5000000000000002,0.06935244678524335,0.43387482977390995,0.0021771221394517298,0.06935244678524335,0.4338748297739099,0.0021771221394517298,0.06935244678524335,0.43387482977390995,0.0021771221394517306,-0.003661390858254963,0.38841219935128557,-0.13075563089165337,0.0,0.0006080643150350322,-2.569637384284842e-18,-0.01657266838231715,-5.631121865322257e-17,-0.08060980193334451,-1.8490386303793187e-16,-0.010651158633026684,-1.7389829957401457e-18,-3.84166611234611e-19
0.5100000000000002,0.06903220597100437,0.4469582175686608,0.00206853051237056,0.06903220597100437,0.4469582175686607,0.00206853051237056,0.06903220597100437,0.4469582175686608,0.0020685305123705608,-0.0036640563287933083,0.3977983538103334,-0.13595324039189174,0.0,0.0006523270627943893,-2.6690958001899825e-18,-0.017576233022596244,-5.840418852730971e-17,-0.08476591853398369,-1.9142601938345564e-16,-0.010583552090555049,-1.7148765767392053e-18,-3.98105855683563e-19
0.5200000000000002,0.06856556443545647,0.4599283283755967,0.001965122998008997,0.06856556443545647,0.45992832837559666,0.001965122998008997,0.06856556443545647,0.4599283283755967,0.001965122998008998,-0.0036639620502846725,0.4072474624157224,-0.14124749107385354,0.0,0.0006985979286210497,-2.772404323909263e-18,-0.018618843625040453,-6.060471794379645e-17,-0.08903753967306491,-1.9816574082648178e-16,-0.010511142593850458,-1.959269774459515e-18,-4.1272439516411474e-19
0.5300000000000002,0.06795495473535801,0.47276677855998656,0.0018685316951643429,0.06795495473535801,0.4727667785599865,0.0018685316951643429,0.06795495473535801,0.47276677855998656,0.0018685316951643437,-0.003660224524368389,0.4167593809312173,-0.14663804394387905,0.0,0.0007469238123881971,-2.8774919615766784e-18,-0.019701232752309374,-6.282131025193914e-17,-0.0934252387424016,-2.0497978576826515e-16,-0.010438957675594038,-2.3263160004470653e-18,-4.271104290913791e-19
0.5400000000000003,0.06720335764817591,0.48545525400416867,0.0017802218974607982,0.06720335764817591,0.4854552540041686,0.0017802218974607982,0.06720335764817591,0.48545525400416867,0.001780221897460799,-0.0036523344207656325,0.4263339266975099,-0.15212455471934266,0.0,0.0007973506488180939,-2.984194721613988e-18,-0.020824123460814244,-6.507436988721135e-17,-0.09792945114096306,-2.1184060743229727e-16,-0.010371861179277823,-2.7857394559583984e-18,-4.417465476851307e-19
0.5500000000000003,0.06631447398465141,0.4979758127445342,0.0017014938431653243,0.06631447398465141,0.4979758127445341,0.0017014938431653241,0.06631447398465141,0.4979758127445342,0.001701493843165325,-0.0036408627883098214,0.43597094934037006,-0.15770667384938203,0.0,0.0008499238982043283,-3.092932600987408e-18,-0.021988231981706158,-6.735416590161402e-17,-0.10255054437807284,-2.1878824750870766e-16,-0.010314522698888308,-3.373083858883018e-18,-4.566136386980884e-19
