dof_B1E1,dof_B1F1,dof_B1F2,dof_B2E1,dof_B2F1,dof_B2F2,dof_B3E1,dof_B3F1,dof_B3F2,dof_DrTr,dof_GenAz,dof_Heave,dof_NacYaw,dof_Pitch,dof_Roll,dof_Surge,dof_Sway,dof_TwrFA1,dof_TwrFA2,dof_TwrSS1,dof_TwrSS2,dof_Yaw,env_AeroThrust,env_GenPower,env_GenTorque,env_PitchCmd,env_Time,env_WaveElev,env_WindSpeed,env_wave_elev,env_wind_speed,gen_torque,moor_Fx,moor_Fy,moor_Fz,moor_Mx,moor_My,moor_Mz,moor_Time,qB1E1,qB1F1,qB1F2,qB2E1,qB2F1,qB2F2,qB3E1,qB3F1,qB3F2,qDrTr,qGeAz,qHv,qP,qR,qSg,qSw,qTFA1,qTFA2,qTSS1,qTSS2,qY,qyaw,thrust,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99415878304923,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.529999999999841,1.8189158773113945,11.4,1.8189158773113945,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.529999999999841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.4399999999946,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.539999999999841
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00044196835641,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.539999999999841,1.8201803979692537,11.4,1.8201803979692537,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.539999999999841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.79999999999455,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.54999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.006725153663589,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.54999999999984,1.8213685475188135,11.4,1.8213685475188135,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.54999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.1599999999945,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.55999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.013008338970768,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.55999999999984,1.822480276107709,11.4,1.822480276107709,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.55999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.5199999999945,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.56999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.019291524277947,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.56999999999984,1.8235155370900442,11.4,1.8235155370900442,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.56999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.8799999999945,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.57999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.025574709585126,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.57999999999984,1.8244742870283512,11.4,1.8244742870283512,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.57999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.23999999999444,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.58999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.031857894892306,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.58999999999984,1.8253564856954103,11.4,1.8253564856954103,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.58999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.59999999999445,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.59999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.038141080199485,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.59999999999984,1.826162096075941,11.4,1.826162096075941,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.59999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.9599999999944,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.60999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.044424265506664,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.60999999999984,1.8268910843681516,11.4,1.8268910843681516,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.60999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.31999999999437,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.61999999999984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.050707450813843,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.61999999999984,1.8275434199851597,11.4,1.8275434199851597,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.61999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.6799999999944,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.62999999999984
