time,MoorFx,MoorFy,MoorFz,MoorMx,MoorMy,MoorMz
0.03,-6.187454983592033,0.0,-1979296.783997564,0.0,5.345696542412043,0.0
0.060000000000000005,75.59014255588409,0.0,-1979231.775248255,0.0,-322.14064396731555,5.684341886080801e-13
0.09,75.59014255588409,0.0,-1979231.775248255,0.0,-322.14064396731555,5.684341886080801e-13
0.11999999999999998,329.415330465883,0.0,-1979037.6423515235,0.0,-1509.9126146063209,2.2737367544323206e-12
0.15,329.415330465883,0.0,-1979037.6423515235,0.0,-1509.9126146063209,2.2737367544323206e-12
0.18000000000000002,768.3992603658698,0.0,-1978716.2117857395,0.0,-3870.866006799042,4.547473508864641e-12
0.21000000000000005,1406.6798831532942,0.0,-1978269.9362502927,0.0,-7726.212171504274,7.275957614183426e-12
0.24000000000000007,1406.6798831532942,0.0,-1978269.9362502927,0.0,-7726.212171504274,7.275957614183426e-12
0.2700000000000001,2256.7074867198244,0.0,-1977701.9151898627,0.0,-13371.577770743519,1.0913936421275139e-11
0.3000000000000001,2256.7074867198244,0.0,-1977701.9151898627,0.0,-13371.577770743519,1.0913936421275139e-11
0.3300000000000001,3326.7607278375654,0.0,-1977015.913154509,0.0,-21051.267852501944,1.8189894035458565e-11
0.36000000000000015,4622.081002189545,0.0,-1976216.3183190706,0.0,-30977.22833599709,2.1827872842550278e-11
0.3900000000000002,4622.081002189545,0.0,-1976216.3183190706,0.0,-30977.22833599709,2.1827872842550278e-11
0.4200000000000002,6147.8825186906615,0.0,-1975308.0620665653,0.0,-43366.1437955033,2.9103830456733704e-11
0.45000000000000023,6147.8825186906615,0.0,-1975308.0620665653,0.0,-43366.1437955033,2.9103830456733704e-11
0.48000000000000026,7910.324091862654,0.0,-1974296.5657908996,0.0,-58446.26939528249,4.3655745685100555e-11
0.5100000000000002,9914.07421875,-0.006179939955472946,-1973187.75,0.0,0.0,0.0
0.5400000000000003,9914.07421875,-0.006179939955472946,-1973187.75,0.0,0.0,0.0
0.5700000000000003,12160.9521484375,-0.00620361790060997,-1971987.875,0.0,0.0,0.0
0.6000000000000003,12160.9521484375,-0.00620361790060997,-1971987.875,0.0,0.0,0.0
0.6300000000000003,14649.77734375,-0.006228450685739517,-1970704.25,0.0,0.0,0.0
0.6600000000000004,17378.4140625,-0.006252039223909378,-1969343.375,0.0,0.0,0.0
0.6900000000000004,17378.4140625,-0.006252039223909378,-1969343.375,0.0,0.0,0.0
0.7200000000000004,20345.42578125,-0.006273865699768066,-1967913.5,0.0,0.0,0.0
0.7500000000000004,20345.42578125,-0.006273865699768066,-1967913.5,0.0,0.0,0.0
0.7800000000000005,23549.404296875,-0.006293840706348419,-1966421.375,0.0,0.0,0.0
0.8100000000000005,26987.25390625,-0.006312116980552673,-1964876.0,0.0,0.0,0.0
0.8400000000000005,26987.25390625,-0.006312116980552673,-1964876.0,0.0,0.0,0.0
0.8700000000000006,30653.5234375,-0.006328556686639786,-1963284.875,0.0,0.0,0.0
0.9000000000000006,30653.5234375,-0.006328556686639786,-1963284.875,0.0,0.0,0.0
0.9300000000000006,34235.55078125,-0.00634327158331871,-1961635.25,0.0,0.0,0.0
0.9600000000000006,38549.91015625,-0.006355948746204376,-1959916.5,0.0,0.0,0.0
0.9900000000000007,38549.91015625,-0.006355948746204376,-1959916.5,0.0,0.0,0.0
1.0200000000000007,43361.62109375,-0.006365455687046051,-1958156.75,0.0,0.0,0.0
1.0500000000000007,43361.62109375,-0.006365455687046051,-1958156.75,0.0,0.0,0.0
1.0800000000000007,48426.19140625,-0.006370902061462402,-1956379.625,0.0,0.0,0.0
1.1100000000000008,53737.29296875,-0.006373900920152664,-1954593.75,0.0,0.0,0.0
1.1400000000000008,53737.29296875,-0.006373900920152664,-1954593.75,0.0,0.0,0.0
1.1700000000000008,59287.375,-0.006375752389431,-1952808.0,0.0,0.0,0.0
1.2000000000000008,59287.375,-0.006375752389431,-1952808.0,0.0,0.0,0.0
1.2300000000000009,65063.4453125,-0.006376352161169052,-1951031.0,0.0,0.0,0.0
1.260000000000001,71048.3125,-0.0063755102455616,-1949271.0,0.0,0.0,0.0
1.290000000000001,71048.3125,-0.0063755102455616,-1949271.0,0.0,0.0,0.0
1.320000000000001,77225.1484375,-0.006373215466737747,-1947536.25,0.0,0.0,0.0
1.350000000000001,77225.1484375,-0.006373215466737747,-1947536.25,0.0,0.0,0.0
1.380000000000001,83579.78125,-0.006369292736053467,-1945834.5,0.0,0.0,0.0
1.410000000000001,90099.171875,-0.006364449858665466,-1944172.625,0.0,0.0,0.0
1.440000000000001,90099.171875,-0.006364449858665466,-1944172.625,0.0,0.0,0.0
1.470000000000001,96768.2734375,-0.006358429789543152,-1942557.875,0.0,0.0,0.0
1.500000000000001,96768.2734375,-0.006358429789543152,-1942557.875,0.0,0.0,0.0
1.5300000000000011,103569.125,-0.006351150572299957,-1940996.75,0.0,0.0,0.0
1.5600000000000012,110482.53125,-0.0063426680862903595,-1939494.5,0.0,0.0,0.0
1.5900000000000012,110482.53125,-0.0063426680862903595,-1939494.5,0.0,0.0,0.0
1.6200000000000012,117490.15625,-0.0063325874507427216,-1938057.5,0.0,0.0,0.0
1.6500000000000012,117490.15625,-0.0063325874507427216,-1938057.5,0.0,0.0,0.0
1.6800000000000013,124574.953125,-0.006321173161268234,-1936689.5,0.0,0.0,0.0
1.7100000000000013,131719.90625,-0.0063083842396736145,-1935395.75,0.0,0.0,0.0
1.7400000000000013,131719.90625,-0.0063083842396736145,-1935395.75,0.0,0.0,0.0
